"Table S5. LC-TOF-MS mass signatures that were significantly altered for at least one aphid feeding time point, P value < 0.05 FDR, fold change < 0.5 or > 2.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Con-early = controls harvested at the beginning of the experiment, Con-late = controls harvested at the end of the experiment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ion mode,m/z,Retention time,Con-early-1,Con-early-2,Con-early-3,Con-early-4,Con-early-5,Con-late-1,Con-late-2,Con-late-3,Con-late-4,Con-late-5,2h-1,2h-2,2h-3,2h-4,2h-5,4h-1,4h-2,4h-3,4h-4,4h-5,8h-1,8h-2,8h-3,8h-4,8h-5,24h-1,24h-2,24h-3,24h-4,24h-5,48h-1,48h-2,48h-3,48h-4,48h-5,96h-1,96h-2,96h-3,96h-4,96h-5
Negative,627.3494533,1366.124732,0.000,0.630,1.486,1.907,0.976,1.075,1.766,1.041,1.117,0.000,1.180,0.980,2.860,1.950,2.080,0.075,0.759,0.826,0.269,0.238,0.199,0.826,0.505,1.486,2.211,0.143,0.384,0.000,1.829,2.615,0.019,0.851,0.730,0.412,1.832,1.835,2.082,2.525,2.253,2.995
Negative,623.3277692,1288.018892,0.358,0.375,1.460,1.733,1.073,1.010,1.338,1.371,1.281,0.000,0.970,1.050,1.070,1.880,1.720,0.226,1.175,0.476,0.491,0.698,0.941,1.592,1.261,2.395,3.093,0.593,0.819,0.030,1.179,0.866,0.150,1.060,1.079,0.345,2.073,2.150,1.529,1.454,2.765,2.317
Negative,270.9781189,86.45519397,0.842,1.201,1.153,1.002,0.802,1.291,1.139,0.978,1.033,0.560,1.550,2.170,2.130,2.280,2.000,2.259,1.730,1.892,1.706,1.663,1.900,2.291,2.031,2.386,2.465,1.020,1.274,1.636,2.040,2.017,1.608,2.335,2.253,2.316,2.543,1.700,1.246,1.819,2.965,2.286
Negative,621.181094,677.0374481,0.191,1.128,1.527,0.959,1.195,1.112,2.787,0.687,0.414,0.000,1.700,1.660,1.680,2.280,2.450,2.032,2.124,2.165,2.325,2.968,4.272,3.065,2.444,2.833,2.347,2.572,1.179,1.014,2.126,1.912,1.296,3.454,2.312,3.175,4.980,1.789,2.984,0.000,2.860,2.510
Negative,621.1808022,631.680921,0.425,0.748,1.259,1.167,1.401,0.937,1.478,1.354,1.199,0.032,1.630,1.500,1.690,1.870,1.970,1.771,1.951,1.861,1.543,1.834,2.268,1.953,1.937,2.291,1.618,1.292,1.424,1.088,1.927,1.830,1.243,0.871,1.896,1.605,3.256,2.057,1.591,1.096,1.377,2.163
Negative,269.103537,430.670039,0.615,1.162,1.258,0.720,1.245,1.400,2.082,0.615,0.816,0.086,1.750,2.580,3.270,4.320,2.080,3.359,2.440,4.631,3.505,4.230,2.075,2.854,3.018,1.618,1.155,2.329,1.894,1.544,1.430,2.488,0.965,1.601,2.450,2.172,4.679,2.397,1.595,1.307,1.307,0.698
Negative,613.2111103,414.466646,0.790,0.984,1.118,1.018,1.089,1.410,1.494,1.013,1.019,0.064,2.000,1.670,2.640,1.630,3.870,1.796,1.569,0.758,1.705,2.606,2.085,2.321,0.459,0.374,2.826,0.832,1.349,0.986,1.680,1.851,0.847,1.921,2.383,0.650,2.716,1.809,1.275,1.290,2.199,1.652
Negative,611.4183891,1203.468805,0.501,1.023,1.459,1.048,0.969,0.920,1.111,1.535,1.434,0.000,1.080,1.590,1.410,1.240,2.340,2.790,2.342,2.840,2.247,2.575,2.652,2.845,3.154,2.290,3.387,1.792,0.896,1.843,1.460,1.452,1.193,2.425,2.697,1.782,2.483,1.112,1.273,1.243,3.091,1.527
Negative,610.4157164,1203.739868,0.605,0.835,1.401,1.148,1.011,1.159,1.077,1.505,1.220,0.039,1.600,1.200,1.260,2.010,1.670,1.702,1.443,2.337,1.645,2.308,2.672,2.024,1.991,2.034,1.758,1.600,1.404,1.437,1.826,1.351,1.307,2.325,1.982,1.807,2.511,1.807,0.861,1.527,2.009,1.398
Negative,609.4127495,1203.853772,0.561,0.899,1.430,1.177,0.933,1.151,1.154,1.486,1.172,0.036,1.840,1.430,1.410,2.160,1.840,1.852,1.640,2.644,1.796,3.271,2.787,2.178,2.126,1.849,2.482,1.689,1.244,1.956,1.889,1.524,1.164,2.449,2.104,1.826,2.713,1.998,1.318,2.203,2.128,1.445
