"","NodeNames","Score","position","type","seed","lab","description","source"
"1","GO:0006338",0.000579597196832321,12,"BP","AC185468.3_FG002","GO:0006338","chromatin remodeling (BP)","BP"
"2","GO:0019375",0.000115331038259431,19,"BP","AC195351.3_FG001","GO:0019375","galactolipid biosynthetic process (BP)","BP"
"3","GO:0009056",0.000567429047926318,15,"BP","AC198118.4_FG001","GO:0009056","catabolic process (BP)","BP"
"4","GO:0006468",0.0164073677846067,2,"BP","AC203090.3_FG001","GO:0006468","protein phosphorylation (BP)","BP"
"5","GO:0019375",1.78450087802047e-05,19,"BP","AC204940.3_FG005","GO:0019375","galactolipid biosynthetic process (BP)","BP"
"6","GO:0005975",0.000513161995140787,12,"BP","AC205008.4_FG001","GO:0005975","carbohydrate metabolic process (BP)","BP"
"7","GO:0019375",2.86801365584861e-06,25,"BP","AC206853.3_FG002","GO:0019375","galactolipid biosynthetic process (BP)","BP"
"8","GO:0016120",6.67025512066679e-05,24,"BP","EF517601.1_FG003","GO:0016120","carotene biosynthetic process (BP)","BP"
"9","GO:0055114",0.00138254448543682,43,"BP","GRMZM2G004683","GO:0055114","oxidation-reduction process (BP)","BP"
"10","GO:0006032",0.00113832092304504,17,"BP","GRMZM2G010909","GO:0006032","chitin catabolic process (BP)","BP"
"11","GO:0006355",0.00388302381701866,5,"BP","GRMZM2G022699","GO:0006355","regulation of transcription, DNA-templated (BP)","BP"
"12","GO:0055114",0.00146725030421677,15,"BP","GRMZM2G029087","GO:0055114","oxidation-reduction process (BP)","BP"
"13","GO:0055114",0.00724492618611085,6,"BP","GRMZM2G036807","GO:0055114","oxidation-reduction process (BP)","BP"
"14","GO:0005975",0.00829145729005712,7,"BP","GRMZM2G038973","GO:0005975","carbohydrate metabolic process (BP)","BP"
"15","GO:0055085",0.00296797741986661,2,"BP","GRMZM2G049912","GO:0055085","transmembrane transport (BP)","BP"
"16","GO:0009694",0.00814083222118269,4,"BP","GRMZM2G052100","GO:0009694","jasmonic acid metabolic process (BP)","BP"
"17","GO:0003333",0.00092932422623905,12,"BP","GRMZM2G054900","GO:0003333","amino acid transmembrane transport (BP)","BP"
"18","GO:0055085",0.000599407251162128,17,"BP","GRMZM2G057841","GO:0055085","transmembrane transport (BP)","BP"
"19","GO:0006508",0.00295952163161879,8,"BP","GRMZM2G068763","GO:0006508","proteolysis (BP)","BP"
"20","GO:0003333",0.00309774742589779,12,"BP","GRMZM2G076938","GO:0003333","amino acid transmembrane transport (BP)","BP"
"21","GO:0015914",0.000167184458565243,101,"BP","GRMZM2G085176","GO:0015914","phospholipid transport (BP)","BP"
"22","GO:0006355",0.00554031351575163,6,"BP","GRMZM2G092169","GO:0006355","regulation of transcription, DNA-templated (BP)","BP"
"23","GO:0006355",0.00273958571593819,10,"BP","GRMZM2G100003","GO:0006355","regulation of transcription, DNA-templated (BP)","BP"
"24","GO:0055114",0.00817155489151792,4,"BP","GRMZM2G100372","GO:0055114","oxidation-reduction process (BP)","BP"
"25","GO:0016567",0.0338700362878554,2,"BP","GRMZM2G102961","GO:0016567","protein ubiquitination (BP)","BP"
