UNIPROT	SYMBOL
A0AUL9	ATG2A
A0AV96	RBM47
A0AVL1	ADAM9
A0AVT1	UBA6
A0FGR8	ESYT2
A0MZ66	SHTN1
A0RZB6	SIL1
A1L0T0	ILVBL
A1L1B7	MAP7D1
A1L390	PLEKHG3
A1Z5I7	MDC1
A2A274	ACO2
A2A299	TGM2
A2A2D0	STMN1
A2A2F0	RALGAPB
A2A2L5	RTF2
A2A2M0	RPRD1B
A2A2M1	NFS1
A2A2P1	CTNNBL1
A2A2Q9	AAR2
A2A2R6	GNAS
A2A2S5	RRBP1
A2A2U4	NQO2
A2A2V2	RBM34
A2A305	UBAP2
A2A326	ZNF217
A2A3R5	RPS6
A2A3S1	VDAC2
A2A437	PTPRF
A2A5X0	PIP5K1A
A2AB09	FLOT1
A2AB15	DHX16
A2AB20	KIFC1
A2AB27	GNL1
A2AB90	TAPBP
A2ABF4	VARS1
A2ABF8	EHMT2
A2ABK4	NELFE
A2ABN7	PPT2
A2AE48	TRIM26
A2AEA2	HLA-C
A2BFH1	PPIAL4C
A2BFH1	PPIAL4G
A2IDB1	YWHAH
A2IDC6	MRPL28
A2RRE5	GRLF1
A2RRP1	NBAS
A2RRQ7	SNRNP200
A2SY06	MARK3
A2TJX0	KLF5
A3KFI9	CSTF1
A3KFJ0	AURKA
A3KFL1	EXOSC2
A3KMH1	VWA8
A3KN83	SBNO1
A3KPE3	FOXC1
A4D1E9	GTPBP10
A4D1W8	UCC1
A4D212	DKFZP586J0619
A4D2B8	PMS2P1
A4D2Q0	UNC84A
A4QPE4	SPTBN2
A5YKK6	CNOT1
A6NCE7	MAP1LC3B2
A6NCQ0	NUDT5
A6ND22	MRPS16
A6ND36	FAM83G
A6NDG6	PGP
A6NDI8	HDAC6
A6NDY9	FLNA
A6NE76	CUL4B
A6NEC2	NPEPPSL1
A6NEM2	HCFC1
A6NEM5	PIGK
A6NF31	OFD1
A6NF51	BPNT1
A6NFQ9	SEPTIN8
A6NFV8	DTNBP1
A6NG10	WBP2
A6NG45	PRDX4
A6NGP5	JPT2
A6NGV6	ARNT
A6NGW1	YIF1A
A6NH27	ZWINT
A6NHG4	DDTL
A6NHH0	PTGES2
A6NHN2	RC3H2
A6NHR2	MRPL37
A6NHR9	SMCHD1
A6NHU4	AKR1C1
A6NIC1	RTCA
A6NIE6	RRN3P2
A6NIT2	PHKA1
A6NJ78	METTL15
A6NJA2	USP14
A6NJH9	EIF1AY
A6NKB8	RNPEP
A6NKD9	CCDC85C
A6NKE1	TRAPPC3
A6NKF1	SAC3D1
A6NKH3	RPL37AP8
A6NKT7	RGPD3
A6NKZ9	TIAL1
A6NL76	ACTA1
A6NLM8	SSR4
A6NLN1	PTBP1
A6NM32	PPIH
A6NML8	DIAPH2
A6NMQ1	POLA1
A6NMS2	PRPS2
A6NMU3	STAM
A6NMY6	ANXA2P2
A6NN50	OBSL1
A6NNI4	CD9
A6NNK5	TP53BP1
A6NNN6	PCM1
A6NNY8	USP27X
A6NNZ2	TUBB8B
A6NP24	CRYZ
A6NP46	GK
A6PVH9	CPNE1
A6PVI0	RBM12
A6PVJ2	ERGIC3
A6PVN5	PTPA
A6PVP4	MED20
A6PVU8	TUFT1
A6PVX1	SELENBP1
A6PVX3	PSMD4
A6PW30	POGZ
A6QRG9	PLXNB2
A6QRI9	RPL10
A6QRJ1	ATP6AP1
A7E2D7	EP400
A7E2V4	ZSWIM8
A8K8E1	TBC1D15
A8K8J9	DCTN2
A8K968	EPB41L3
A8MPP1	DDX11L8
A8MPP7	SRPK3
A8MPU2	ITGB1BP1
A8MQ02	AFDN
A8MQB8	FMR1
A8MRA7	ATPAF1
A8MT37	GSK3A
A8MT40	PDPR
A8MTK3	POT1
A8MTM1	CBR1
A8MU27	SUMO3
A8MU39	PPP5C
A8MU58	AIMP2
A8MUD9	RPL7
A8MUH2	ATP5PF
A8MUS3	RPL23A
A8MUT6	DLG1
A8MV33	PDXK
A8MV53	PPAN
A8MV73	ATF7IP
A8MVM1	CASP3
A8MVQ3	CARS
A8MVT4	MRPL23
A8MVZ6	BICD1
A8MVZ9	ALDOC
A8MW50	LDHB
A8MWP7	NAA10
A8MWR2	WIPF2
A8MX29	KLC2
A8MX75	ERCC2
A8MXB9	SUMF2
A8MXE0	P4HA2
A8MXE8	RAI1
A8MXH2	NAP1L4
A8MXK4	RPS9
A8MXL6	SEC13
A8MXP8	RCN2
A8MXP9	MATR3
A8MYB8	ALDH3A1
A8MYJ1	AKAP13
A8MYT4	PIK3C3
A8MYV2	LUC7L
A8MYV4	UEVLD
A8MYZ9	HDHD5
A8MZB2	NAA20
A8MZF8	MPRIP
A8MZF9	DRG2
A9C4B9	TSEN34
A9J4F5	ZNF593
A9YTQ3	AHRR
A9Z1X7	SRRM1
B0AZS6	YWHAZ
B0AZT5	NAA50
B0FLL2	PFKFB2
B0I1T2	MYO1G
B0QXZ6	CBX6
B0QY21	NUP50
B0QY83	MRTFA
B0QY89	EIF3L
B0QYA4	EIF3D
B0QYC6	CDC42EP1
B0QYD3	APOBEC3B
B0QYG7	PACSIN2
B0QYK0	EWSR1
B0QYN7	UBE2I
B0QYP8	PARVB
B0QYR5	GGA1
B0QYT4	RANGAP1
B0QYV9	ARFGAP3
B0QZ36	RAE1
B0QZ43	ERLIN1
B0QZ65	GAPVD1
B0QZ77	MMS19
B0QZ88	SMYD3
B0QZE6	SETDB1
B0QZK4	HP1BP3
B0S8I6	FAM50A
B0UZZ8	WDR46
B0YIW6	ARCN1
B0YIZ1	HSPA14
B0YJ65	PHLDB1
B0YJC4	VIM
B1AH48	TST
B1AH49	MPST
B1AH77	RAC2
B1AH99	MYH9
B1AHA8	HMOX1
B1AHA9	MCM5
B1AHC9	XRCC6
B1AHD1	SNU13
B1AHE3	ATXN10
B1AHF3	CYB5R3
B1AJQ6	STX12
B1AJY5	PSMD10
B1AK13	HMGCL
B1AK20	DNAJC11
B1AK85	CAPZB
B1AKB5	TFEB
B1AKC8	ZBTB40
B1AKI6	MBNL3
B1AKJ6	OSBPL9
B1AKP7	TARDBP
B1AKP8	MTOR
B1AKQ8	GNB1
B1AKR6	DYNLRB1
B1AKS5	PAK3
B1AKT3	TMED5
B1AKY9	ATP1A2
B1AL05	MRPL43
B1AL79	PKN2
B1ALA7	PRPS1
B1ALB4	SMG7
B1ALC0	ARPC5
B1ALD0	AP4B1
B1ALF6	SMARCA2
B1ALG6	HELLS
B1AMJ5	CDK5RAP2
B1AMN7	CTTNBP2NL
B1AMS2	SEPTIN6
B1AMT1	STAG2
B1AMW1	CD58
B1ANE3	MTR
B1ANM7	FAF1
B1ANR0	PABPC4
B1AP13	CD55
B1AP46	EXOC6
B1AP61	WASHC2A
B1APE1	GTF2B
B1APM4	SOAT1
B1APP6	PFKP
B1APQ0	PITRM1
B1APR7	EYA3
B1AQ61	UBE4B
B1AQP8	EPHX1
B1AQT3	NUF2
B1AR60	SUPV3L1
B1AR61	HK1
B1AUU8	EPS15
B1AXG1	RPS6KA3
B1Q2N1	DDX39A
B2REB0	SACS
B2RPK0	HMGB1P1
B2WTI4	JMJD6
B2ZWH1	CACYBP
B3KN43	MRPL27
B3KNJ4	SAE1
B3KNW1	AP1G1
B3KP49	RANBP10
B3KPL2	PHF15
B3KPX4	HACL1
B3KQ25	PSME3
B3KQC5	MAN1B1
B3KQH5	INTS6
B3KR83	BUD23
B3KRB7	IKBKB
B3KS31	TUBB6
B3KSH1	EIF3F
B3KSP0	WHSC2
B3KTC7	MRE11
B3KTM6	RPL5
B3KTM8	MORF4L1
B3KTU7	TUBGCP2
B3KUP2	RANBP1
B3KV44	NAP1L1
B3KVH1	WIZ
B3KVY5	KCTD10
B3KVZ3	CENPH
B3KWE1	HARS1
B3KWS3	PLOD2
B3KXD6	PES1
B3KXS5	LONP1
B3KYB6	PITPNB
B4DDC6	PTGES3
B4DDF4	CNN2
B4DDL2	COG4
B4DDM3	SNX17
B4DDN4	EIF3C
B4DDQ3	DNM1L
B4DE93	NDUFV1
B4DEB1	H3-3A
B4DEH5	LTA4H
B4DEH8	PABPN1
B4DEP1	ADSL
B4DF77	PACS1
B4DFG0	DEK
B4DGI9	TCF12
B4DGJ5	PAF1
B4DGK6	SLC25A12
B4DGL8	ABCB7
B4DGM3	SMARCE1
B4DGU4	CTNNB1
B4DGW0	PIAS2
B4DGZ4	SF3B1
B4DHE8	MSI2
B4DHN5	SDCBP
B4DHR0	RABEP2
B4DHS6	VWA5A
B4DIE3	TMX3
B4DIH5	COPS2
B4DIP2	ERBIN
B4DIW9	ANKRD28
B4DJ66	PSMD13
B4DJ81	NDUFS1
B4DJC3	MACROH2A1
B4DJF2	YWHAE
B4DJK0	SRSF5
B4DJL6	INTS14
B4DJM9	SARS2
B4DJS7	SNX6
B4DJV2	CS
B4DJV5	PWP1
B4DKA4	ELP3
B4DKB2	ECE1
B4DKL4	LSR
B4DKR0	STX5A
B4DLR8	NQO1
B4DLV4	SHMT2
B4DM58	DHFR
B4DMU5	GNL3
B4DP31	PRPSAP1
B4DP61	SMN1
B4DP62	SLC25A1
B4DP64	LYPLA1
B4DQ67	HARS2
B4DQA8	GOSR1
B4DQI6	TRA2A
B4DQT1	MAEA
B4DQU5	RAB11A
B4DR61	SEC61A1
B4DR80	STK24
B4DRC2	SCML2
B4DRG3	LDAH
B4DS13	EIF4B
B4DS64	PRKRIR
B4DSB0	PARN
B4DSL5	MYO19
B4DSN5	PTPN1
B4DTG6	LSM14A
B4DTN4	METTL3
B4DTU4	LIG1
B4DUR8	CCT3
B4DUX5	METAP2
B4DV51	RAN
B4DV79	EIF3B
B4DVB0	OSBPL5
B4DVD1	NUP43
B4DVD8	CASP1
B4DW73	PCK2
B4DWA1	BAIAP2
B4DWJ1	PTK2
B4DXC8	NME7
B4DXL3	CLN3
B4DXW4	CLPB
B4DXZ6	FXR1
B4DYB8	MPI
B4DZG7	ARL1
B4E0G6	RBM6
B4E0H5	FBXO28
B4E0T7	LRCH3
B4E0W7	NDUFAF7
B4E127	TDG
B4E128	SLFN5
B4E1N1	ARMC6
B4E1S6	SDC4
B4E2I7	DIAPH1
B4E321	OS9
B4E3L3	USP28
B4E3P0	ACLY
B4E3S0	CORO1C
B4E3U2	FBXO3
B5MBX0	CDCA5
B5MBZ0	EML4
B5MBZ8	PPP1R7
B5MC22	MTFP1
B5MC59	RPA3
B5MC89	THADA
B5MCD9	RABGAP1
B5MCE7	BZW2
B5MCL5	SMARCB1
B5MCN0	ATL2
B5MCP9	RPS7
B5MCU2	LARP4B
B5MCW2	RPL3
B5MCW3	BRD8
B5MCX3	SEPTIN2
B5MCY9	EXOC7
B5MD38	HADHB
B5MDG7	HMG20B
B5MDQ0	ERCC6L
B5ME60	POU2F2
B5ME97	SEPTIN10
B7WP74	CWC22
B7WPE2	EML3
B7WPL0	RIC8B
B7Z1C9	CCT7
B7Z1E9	GGA3
B7Z1I9	ATP6AP2
B7Z2L8	CCDC25
B7Z2Y2	COG2
B7Z2Y5	RPS6KA5
B7Z3D5	MTMR1
B7Z468	CAST
B7Z484	KIFC3
B7Z4B8	HNRNPUL1
B7Z4C8	RPL31
B7Z4K4	FTSJ1
B7Z4S1	TCEA1
B7Z589	SLC6A9
B7Z5J4	CPA4
B7Z5Q9	TROAP
B7Z632	ORC4L
B7Z637	ARMC8
B7Z641	ATP6V0A1
B7Z683	ABR
B7Z6P3	KTN1
B7Z6U3	ACP2
B7Z6Z4	MYL6
B7Z7P0	UBE4A
B7Z7P8	ETF1
B7Z982	PLRG1
B7ZAR1	CCT5
B7ZBH1	EIF6
B7ZC38	SH3GLB2
B7ZCA0	SYNGAP1
B7ZKM0	SART3
B7ZMI3	ITPR1
B8QGS9	PKP2
B8ZZ38	LRPPRC
B8ZZ43	CBX3
B8ZZ47	IMP4
B8ZZ51	MDH1
B8ZZ54	HSPE1
B8ZZ74	RBM14
B8ZZ75	GALM
B8ZZ81	AGPS
B8ZZ87	MZT2B
B8ZZA1	PTMA
B8ZZA3	KYNU
B8ZZA8	GLS
B8ZZD4	TAX1BP1
B8ZZE2	MOGS
B8ZZF0	PPM1B
B8ZZG1	MPP6
B8ZZI0	NIF3L1
B8ZZJ0	SUMO1
B8ZZK2	GGCT
B8ZZR0	CLK1
B8ZZS2	NAB1
B8ZZS4	ANKZF1
B8ZZU8	ELOB
B8ZZV5	MRPL30
B8ZZY2	AGFG1
B9A018	USP39
B9A035	NT5C3A
B9A049	WDR54
B9A053	WDR33
B9A067	IMMT
B9EGA3	SMARCD2
B9TWZ6	MED16
B9TX31	MED25
B9ZVN9	POLR1A
B9ZVP7	RPL23
B9ZVT1	RBM12B
C1K3N0	TFAP2A
C4B7M2	SPG11
