Table S4. LC-TOF-MS data from negative and positive ion modes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data shown are peak areas for each mass feature.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ctr = control sample, sample = aphid-treated sample",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,controls for 2 h samples,,,,,,controls for 4h samples,,,,,controls for 8 h samples,,,,,controls for 24 h samples,,,,,controls for  48 h samples,,,,,controls for 96 h samples,,,,,2 h samples,,,,,4 h samples,,,,,8 h samples,,,,,24 h samples,,,,,48 h samples,,,,,96 h samples,,,,
Ion mode,m/z,retention time,ID,ctr_2h_1,ctr_2h_2,ctr_2h_3,ctr_2h_4,ctr_2h_5,ctr_4h_1,ctr_4h_2,ctr_4h_3,ctr_4h_4,ctr_4h_5,ctr_8h_1,ctr_8h_2,ctr_8h_3,ctr_8h_4,ctr_8h_5,ctr_24h_1,ctr_24h_2,ctr_24h_3,ctr_24h_4,ctr_24h_5,ctr_48h_1,ctr_48h_2,ctr_48h_3,ctr_48h_4,ctr_48h_5,ctr_96h_1,ctr_96h_2,ctr_96h_3,ctr_96h_4,ctr_96h_5,sample_2h_1,sample_2h_2,sample_2h_3,sample_2h_4,sample_2h_5,sample_4h_1,sample_4h_2,sample_4h_3,sample_4h_4,sample_4h_5,sample_8h_1,sample_8h_2,sample_8h_3,sample_8h_4,sample_8h_5,sample_24h_1,sample_24h_2,sample_24h_3,sample_24h_4,sample_24h_5,sample_48h_1,sample_48h_2,sample_48h_3,sample_48h_4,sample_48h_5,sample_96h_1,sample_96h_2,sample_96h_3,sample_96h_4,sample_96h_5
Negative,628.1357308,558.96537,N1000-628.1-559.0,10568.4,10495.9,10423.4,10351,10278.5,10930.6575995595,10858.1973106753,10785.7370217911,10713.276732907,10640.8164440228,9481.45182187605,9408.99153299187,9336.5312441077,9264.07095522352,9191.61066633935,11655.2604884012,11582.8001995171,11510.3399106329,11437.8796217487,11365.4193328645,11365.41933,9843.753266,9771.292977,9698.832689,9626.3724,9843.75326629692,9771.29297741274,9698.83268852857,9626.37239964439,9553.91211076022,13180.10763,14909.43621,13116.52275,11138.66136,5543.494981,9586.849728,7170.024206,13757.32809,11593.28735,5279.56638,24931.59645,11653.50327,14312.93985,5192.208079,5099.139131,25130.46933,15174.60936,16266.88291,11664.84331,5685.393261,12522.64823,14453.04509,12111.11992,11923.27069,6374.984454,14959.95889,11962.32085,12672.80509,12005.04382,8747.294058
Negative,628.3015477,1239.685353,"N1001-628.3-1,239.7",19639.3,19603.3,19567.3,19531.3,19495.4,19819.0937189236,19783.1256600619,19747.1576012002,19711.1895423384,19675.2214834767,19099.7325416889,19063.7644828271,19027.7964239654,18991.8283651037,18955.8603062419,20178.774307541,20142.8062486793,20106.8381898175,20070.8701309558,20034.9020720941,20034.90207,19279.57284,19243.60478,19207.63672,19171.66866,19279.5728359976,19243.6047771358,19207.6367182741,19171.6686594124,19135.7006005506,28527.22448,19505.00724,34026.97847,29598.00572,20912.24217,16245.24292,27739.62496,29421.48046,29710.40512,14624.98276,30831.28336,26885.4392,31952.96569,17020.81804,23503.38404,27482.82406,7312.76731,32863.0456,30124.38151,21818.16007,24361.70402,20362.08313,30124.26584,31282.15324,10653.81593,32633.8983,22959.85528,29224.3715,35478.81215,16380.77912
Negative,628.8712907,56.76008666,N1002-628.9-56.8,2831,2842.1,2853.3,2864.4,2875.5,2775.37261026441,2786.50126301,2797.6299157556,2808.7585685012,2819.88722124679,2997.94566517633,3009.07431792192,3020.20297066752,3031.33162341312,3042.46027615871,2664.08608280845,2675.21473555404,2686.34338829964,2697.47204104524,2708.60069379083,2708.600694,2942.302401,2953.431054,2964.559707,2975.68836,2942.30240144835,2953.43105419394,2964.55970693954,2975.68835968514,2986.81701243073,2276.553201,3492.106945,1267.037814,2519.577166,1758.87965,2393.017526,2817.180984,2810.359663,2837.004093,2945.004477,2217.415967,2122.435954,2524.838596,1612.05022,4183.866066,1995.628968,3560.804945,2156.036207,2990.081056,2825.246874,2511.578076,2194.489424,1414.769554,3415.364012,3285.850506,2395.418136,2667.916136,3903.471437,4592.203985,3702.676431
Negative,273.96063,61.17234671,N100-274.0-61.2,34827.3,34493.1,34158.8,33824.6,33490.3,36498.59940867,36164.3472725716,35830.0951364732,35495.8430003748,35161.5908642764,29813.556686702,29479.3045506036,29145.0524145052,28810.8002784068,28476.5481423084,39841.120769654,39506.8686335556,39172.6164974572,38838.3643613588,38504.1122252604,38504.11223,31484.81737,31150.56523,30816.31309,30482.06096,31484.817367194,31150.5652310956,30816.3130949972,30482.0609588988,30147.8088228004,48314.86322,45290.8957,46542.24983,46255.07576,59676.79642,50587.64983,55509.02359,49419.26941,52476.67033,58965.61563,47959.83836,60701.2279,57981.4653,53299.94389,47788.70149,50944.70842,43636.88746,51883.43864,57524.10636,52183.85735,40851.45059,53945.884,56378.67826,44740.6687,61433.29947,52997.45802,44911.88984,44803.51502,59621.37406,42366.63204
Negative,629.3145223,1349.410025,"N1003-629.3-1,349.4",3467.2,3426.7,3386.1,3345.6,3305.1,3669.77927163585,3629.26043493557,3588.7415982353,3548.22276153502,3507.70392483474,2859.4025376303,2818.88370093003,2778.36486422975,2737.84602752947,2697.32719082919,4074.96763863862,4034.44880193835,3993.92996523807,3953.41112853779,3912.89229183752,3912.892292,3061.996721,3021.477884,2980.959048,2940.440211,3061.99672113169,3021.47788443141,2980.95904773113,2940.44021103086,2899.92137433058,5019.202553,9766.202005,8883.95887,9132.660756,4511.60835,4645.175005,6731.753167,5768.386474,2826.513231,5653.109357,6408.852815,7958.22028,6653.489661,5512.46594,3859.76462,3549.389515,5400.819965,7491.244746,6927.039568,6492.547382,3446.549447,6430.024458,7318.068013,5606.715383,6431.083976,8565.783871,5115.13324,5666.202695,6232.156411,2567.05728
Negative,629.3042075,1239.912743,"N1004-629.3-1,239.9",2529.4,2520.5,2511.7,2502.9,2494,2573.53572097527,2564.70004699194,2555.8643730086,2547.02869902527,2538.19302504194,2396.82224130864,2387.98656732531,2379.15089334198,2370.31521935865,2361.47954537532,2661.89246080858,2653.05678682525,2644.22111284192,2635.38543885859,2626.54976487525,2626.549765,2441.000611,2432.164937,2423.329263,2414.493589,2441.0006112253,2432.16493724197,2423.32926325863,2414.4935892753,2405.65791529197,1311.589988,4493.117813,3873.845867,4029.668706,1578.131318,4559.435352,3682.196588,5767.662316,2504.298222,1346.741333,5764.296361,3210.452109,6027.664551,3094.464387,2796.553652,2969.112125,4331.510653,4878.568817,3631.184576,1331.928097,4681.459791,3108.209382,3487.210173,5310.490054,980.1316951,5705.394957,3995.714754,2544.615525,4216.345079,517.0156903
Negative,630.3013105,1123.701783,"N1005-630.3-1,123.7",15064.5,14998.8,14933.2,14867.5,14801.9,15392.7050885897,15327.0556476741,15261.4062067585,15195.7567658429,15130.1073249273,14079.7162702778,14014.0668293622,13948.4173884466,13882.767947531,13817.1185066154,16049.1994977457,15983.5500568301,15917.9006159145,15852.2511749989,15786.6017340833,15786.60173,14407.96347,14342.31403,14276.66459,14211.01515,14407.9634748558,14342.3140339402,14276.6645930246,14211.015152109,14145.3657111934,29676.36644,24105.16787,28343.65735,26849.73562,24437.09056,27196.67578,29175.87039,34639.21979,29590.16194,26979.88565,27723.41426,28446.77324,31158.39487,18116.39046,20586.60196,31076.14425,22674.26487,26332.41117,30001.51698,27804.38189,19266.4448,29854.0821,27368.57607,29205.67323,31209.83111,24490.64443,17850.39245,25590.23202,38305.17891,22742.76799
Negative,630.3169231,1349.659847,"N1006-630.3-1,349.7",1026.9,1012.4,997.9,983.4,968.9,1099.52474021498,1085.00960299866,1070.49446578234,1055.97932856602,1041.4641913497,809.221995888577,794.706858672256,780.191721455935,765.676584239615,751.161447023294,1244.67611237819,1230.16097516187,1215.64583794555,1201.13070072923,1186.61556351291,1186.615564,881.797682,867.2825448,852.7674075,838.2522703,881.797681970179,867.282544753859,852.767407537538,838.252270321218,823.737133104897,1777.528334,3153.501917,1849.954636,2177.925082,1596.08749,1600.130606,952.9003119,1129.136374,876.7031117,1331.669116,1437.337495,1817.842623,1618.509348,1103.457492,704.8380026,1416.794201,1181.117516,1880.747673,1799.514843,2850.490485,901.7834043,1922.353247,1820.351015,900.4207092,1748.287431,2101.859656,1272.701325,1917.330414,1389.00884,1099.609344
Negative,630.876885,60.60083287,N1007-630.9-60.6,1018.6,997.7,976.8,955.9,935,1123.14425726891,1102.24187511413,1081.33949295934,1060.43711080456,1039.53472864978,705.096614173264,684.194232018481,663.291849863699,642.389467708916,621.487085554134,1332.16807881673,1311.26569666195,1290.36331450717,1269.46093235238,1248.5585501976,1248.55855,809.6085249,788.7061428,767.8037606,746.9013785,809.608524947176,788.706142792393,767.803760637611,746.901378482828,725.998996328046,3276.715263,2299.801786,1573.226062,836.1221519,3797.110344,3769.154184,4115.638062,3620.51047,3340.982253,3328.505234,2542.498863,4097.400999,4245.031647,2987.600531,1647.238193,3705.197395,1680.050079,1898.714739,1868.880971,1913.401233,2480.000029,4089.116174,3421.407596,766.1422619,2892.232552,4978.291369,1981.190214,930.3785717,3535.147079,1538.778984
